>python -u "runit.py"
./timeucds/ucds0
10148.858398, 4679.931152, 13131.558594, 10800.975586, 10800.708984, 4678.152344, 1105.177490, 10.431593, 6.694397, 6.634187, 6.644510; 157.319061 - 4647.229492 - 211.673981 - 4924.421387 - 195.988174 - 4915.363281 - 297.229706 - 4836.164062 - 287.963928 - 4822.424316 - 357.984192 - 4257.681152 - 377.637390 - 4074.180176 - 414.277679 - 4224.118652 - 335.151764 - 4281.909180 - 456.383209 - 4349.197754 - 131072
10187.391602, 4544.857910, 12577.679688, 10781.252930, 10948.349609, 4718.439453, 1306.320679, 12.656442, 6.686142, 6.668925, 6.685433; 195.798843 - 4320.933105 - 206.594574 - 4669.177246 - 214.470932 - 4115.186523 - 306.075989 - 4422.272461 - 345.144379 - 4078.390869 - 375.926422 - 4457.734375 - 374.544983 - 4467.049805 - 396.483215 - 4167.549805 - 377.363739 - 4419.704102 - 465.462372 - 4552.306641 - 262144
8218.704102, 4735.578613, 11962.507812, 10840.112305, 10850.678711, 4683.137207, 1303.432129, 11.621360, 6.825623, 6.782250, 6.808807; 220.796646 - 2966.732910 - 231.188919 - 1452.360229 - 230.350449 - 2424.792480 - 387.302826 - 2833.624512 - 395.842285 - 2850.999512 - 425.862000 - 2367.223877 - 434.120148 - 3176.017822 - 421.122589 - 3311.818604 - 476.558868 - 3246.091064 - 495.242188 - 3269.330811 - 524288
2147.122070, 4736.426758, 2207.502930, 2193.362549, 2221.756104, 4704.782227, 1301.013306, 10.949040, 6.686484, 6.722837, 6.726845; 228.686447 - 1131.853638 - 238.863037 - 1030.320435 - 240.339615 - 1141.146240 - 395.742310 - 1164.946899 - 412.465515 - 1175.220459 - 455.062775 - 1175.805298 - 461.031769 - 1178.721924 - 444.890594 - 1093.950195 - 502.114441 - 1176.952393 - 482.005219 - 1084.828003 - 1048576
1754.547485, 4590.658691, 1761.378052, 1767.387573, 1721.489990, 4610.295898, 1280.693359, 11.994159, 6.752551, 6.666481, 6.834206; 208.924850 - 1055.043335 - 241.044525 - 1090.812622 - 240.494431 - 1085.271240 - 410.150909 - 1097.920410 - 417.099304 - 1004.053894 - 458.003723 - 1159.846436 - 467.071991 - 1155.943848 - 468.932129 - 1135.036133 - 507.860992 - 1162.921387 - 521.121826 - 1131.850586 - 2097152
110.219986, 4549.009766, 1587.401855, 1580.554565, 1576.118286, 3900.398682, 1290.691772, 12.841774, 6.834559, 6.748589, 6.788188; 52.716869 - 53.727249 - 121.379303 - 60.465084 - 111.824043 - 71.057800 - 78.383171 - 55.503384 - 128.731262 - 79.804878 - 398.475067 - 916.418335 - 243.267700 - 729.704285 - 253.214890 - 1029.133667 - 134.947311 - 55.892731 - 487.788513 - 206.960632 - 4194304
./timeucds/urucds3
29.261276, 1269.880615, 4374.783203, 3087.301514, 3068.768311, 1270.368042, 343.525452, 1270.801636, 365.133972, 146.396561, 430.449341; 1367.875244 - 1412.390625 - 1396.032104 - 1590.881958 - 1945.545166 - 1953.487793 - 1994.068726 - 2008.313477 - 2047.592163 - 1962.576416 - 2071.667725 - 2138.189941 - 2152.104980 - 2141.124512 - 2152.410889 - 2151.249023 - 2156.567871 - 2048.938232 - 2144.280518 - 2126.333252 - 16384
3104.456055, 1270.082397, 4578.774414, 3285.539551, 3268.432861, 1270.244873, 340.481079, 1270.537964, 383.891724, 149.035828, 435.342041; 1658.786499 - 1783.422607 - 1840.315796 - 1823.273560 - 1770.534058 - 1901.419556 - 1839.950806 - 1918.861328 - 1869.762207 - 1891.890991 - 1893.157837 - 1851.302979 - 1907.316650 - 1887.303101 - 1869.908569 - 1875.996704 - 1879.819214 - 1880.243652 - 2021.939209 - 1893.803467 - 32768
2782.614502, 1260.677368, 3717.943359, 2923.821533, 2917.378906, 1270.327393, 343.034119, 1270.586060, 359.407715, 148.168808, 420.111328; 1827.777954 - 1860.397461 - 1852.248535 - 1836.633911 - 1834.841309 - 1860.209473 - 1885.583496 - 1854.726807 - 1855.986450 - 1863.166138 - 1785.985352 - 1821.421753 - 1797.245361 - 1816.046143 - 1819.305420 - 1818.671509 - 1809.037964 - 1818.617798 - 1868.286987 - 1862.778320 - 65536
2731.118896, 1270.262207, 3645.177002, 2897.601807, 2897.460693, 1270.296631, 343.651459, 1138.059814, 346.890961, 144.329514, 419.224548; 1781.983521 - 1768.593506 - 1831.969360 - 1834.539307 - 1805.935791 - 1843.638672 - 1842.598145 - 1841.847046 - 1793.537598 - 1800.975342 - 1784.913696 - 1754.075073 - 1774.833252 - 1789.806885 - 1799.195923 - 1797.801025 - 1818.207520 - 1817.904175 - 1866.309692 - 1856.561768 - 131072
2722.721191, 1260.423706, 3629.714844, 2902.007568, 2864.550049, 1252.843628, 343.696381, 1269.982178, 381.147888, 148.586060, 439.892517; 1711.115479 - 1717.460449 - 1689.684814 - 1710.903198 - 1705.647339 - 1695.272583 - 1723.611816 - 1725.996948 - 1731.086792 - 1743.964111 - 1750.170410 - 1739.040039 - 1757.517578 - 1752.879395 - 1754.627319 - 1751.331055 - 1773.875244 - 1776.939209 - 1823.884033 - 1793.900513 - 262144
2696.414551, 1265.239990, 3495.225342, 2842.833496, 2816.833984, 1263.533813, 342.539703, 1264.224609, 366.167511, 148.145325, 424.096588; 1546.948242 - 1592.558472 - 1531.114258 - 1568.369873 - 1619.078979 - 1615.675903 - 1598.723511 - 1589.919189 - 1672.018433 - 1638.743286 - 1619.204834 - 1560.974976 - 1643.443726 - 1655.687378 - 1682.975098 - 1671.545532 - 1704.944946 - 1639.128174 - 1739.975098 - 1618.292725 - 524288
2079.487061, 1265.951050, 2234.170654, 2137.493896, 2195.786133, 1264.917480, 343.372131, 1267.581177, 358.748169, 146.762314, 428.188324; 1030.296265 - 1127.036499 - 1026.325439 - 1110.846069 - 1117.213623 - 1044.032593 - 1050.638062 - 1135.025513 - 1150.083374 - 1146.216309 - 1154.214722 - 1160.208252 - 1157.885620 - 1158.246582 - 1157.955322 - 1154.795044 - 1169.039062 - 1071.809082 - 1123.383789 - 1163.988647 - 1048576
1483.050903, 1260.458984, 1503.192627, 1485.098022, 1481.895508, 1254.475220, 342.430908, 1260.642090, 374.627045, 147.396317, 433.275726; 969.142334 - 961.745850 - 969.475342 - 963.610901 - 958.151428 - 968.721863 - 1004.100647 - 1011.482300 - 1025.737061 - 1022.309204 - 1039.674561 - 1041.340454 - 1043.179321 - 1042.751587 - 1044.783569 - 1040.072510 - 1053.139771 - 1054.065918 - 1060.595093 - 1046.875366 - 2097152
